"year","gr","squirrel_id","sex","breed_status","age_class","log_cache_size_new","log_total_cones"
2012,"KL",12657,"M",1,"adult",5.1390797349419,4.20721253589958
2013,"KL",12657,"M",1,"adult",10.2629898707085,4.67303968645855
2012,"KL",12678,"M",1,"adult",5.03510875779399,4.20721253589958
2013,"KL",12678,"M",1,"adult",9.69870202517473,4.67303968645855
2014,"KL",12678,"M",1,"adult",10.4720664634096,6.90201340778595
2015,"KL",12678,"M",1,"adult",0,0.00550994838793582
2012,"KL",12705,"M",1,"yearling",7.51340933504298,4.20721253589958
2014,"KL",12705,"M",1,"adult",11.4163762196609,6.90201340778595
2015,"KL",12705,"M",1,"adult",0,0.00550994838793582
2016,"KL",12705,"M",1,"adult",0,1.70178639803856
2012,"KL",12706,"M",1,"yearling",7.04791021260248,4.20721253589958
2013,"KL",12744,"M",1,"adult",9.07069508935712,4.67303968645855
2014,"KL",12744,"M",1,"adult",10.6644785742832,6.90201340778595
2016,"KL",12744,"M",1,"adult",0,1.70178639803856
2017,"KL",12744,"M",1,"adult",8.51638660513104,4.12577983837698
2018,"KL",12744,"M",1,"adult",5.70272377515467,1.19410634818236
2013,"KL",12745,"M",1,"adult",9.97253791857658,4.67303968645855
2014,"KL",12745,"M",0,"adult",10.7024637100307,6.90201340778595
2012,"AG",12786,"M",1,"yearling",0,4.20721253589958
2012,"KL",12825,"M",1,"yearling",8.60961308528637,4.20721253589958
2013,"KL",12825,"M",1,"adult",9.95111009653292,4.67303968645855
2013,"KL",12830,"M",1,"adult",9.27826193521553,4.67303968645855
2014,"KL",12831,"M",0,"adult",10.3026387696134,6.90201340778595
2012,"KL",12835,"M",1,"adult",7.59557145009579,4.20721253589958
2013,"KL",12835,"M",1,"adult",9.01550795666263,4.67303968645855
2012,"KL",12908,"M",1,"yearling",9.17361479454735,4.20721253589958
2013,"KL",12908,"M",1,"adult",10.4177932233909,4.67303968645855
2012,"AG",12910,"M",1,"yearling",7.53749389326668,4.20721253589958
2012,"KL",12933,"M",1,"yearling",8.88290277052218,4.20721253589958
2013,"KL",12933,"M",1,"adult",9.921629792875,4.67303968645855
2012,"KL",13039,"M",1,"adult",6.52479800769376,4.20721253589958
2013,"KL",13039,"M",1,"adult",9.1197162781387,4.67303968645855
2012,"KL",13048,"M",1,"yearling",6.8362461554051,4.20721253589958
2013,"KL",13048,"M",1,"adult",11.3073821015022,4.67303968645855
2015,"KL",13048,"M",1,"adult",0,0.00550994838793582
2012,"AG",13071,"M",1,"yearling",8.78890412548056,4.20721253589958
2012,"SU",13095,"M",1,"adult",0,4.20721253589958
2013,"SU",13095,"M",1,"adult",10.0290667622644,4.67303968645855
2014,"SU",13095,"M",1,"adult",11.2156679242486,6.90201340778595
2016,"SU",13095,"M",1,"adult",0,1.70178639803856
2017,"SU",13095,"M",1,"adult",8.29659535321205,4.12577983837698
2018,"SU",13095,"M",1,"adult",0,1.19410634818236
2012,"SU",13096,"M",1,"adult",4.78848059910754,4.20721253589958
2013,"SU",13096,"M",0,"adult",9.78126703802409,4.67303968645855
2014,"SU",13096,"M",1,"adult",10.6472660015609,6.90201340778595
2016,"SU",13096,"M",1,"adult",0,1.70178639803856
2017,"AG",13114,"M",1,"adult",8.80948650683418,4.12577983837698
2010,"KL",13123,"M",1,"yearling",10.7569947705202,7.38746470921704
2013,"KL",13123,"M",1,"adult",9.85052790455482,4.67303968645855
2012,"KL",13125,"M",1,"yearling",8.24654220081651,4.20721253589958
2013,"KL",13125,"M",1,"adult",8.10727473451123,4.67303968645855
2012,"SU",13128,"M",1,"adult",0,4.20721253589958
2013,"SU",13129,"M",1,"adult",9.38814817731177,4.67303968645855
2014,"SU",13129,"M",1,"adult",10.1955792856955,6.90201340778595
