"year","gr","squirrel_id","sex","breed_status","age_class"
1989,"SU",715,"F",1,"adult"
1989,"SU",783,"F",0,"yearling"
1989,"SU",835,"F",0,"adult"
1989,"SU",849,"F",0,"adult"
1989,"SU",852,"F",1,"adult"
1989,"SU",872,"F",1,"adult"
1989,"SU",879,"F",1,"adult"
1989,"SU",899,"F",1,"adult"
1989,"SU",1148,"F",0,"yearling"
1989,"SU",1195,"F",1,"adult"
1989,"SU",1266,"F",1,"adult"
1989,"SU",1271,"F",1,"adult"
1989,"SU",1278,"F",1,"adult"
1989,"SU",1295,"F",1,"adult"
1989,"SU",1299,"F",0,"adult"
1989,"SU",1304,"F",0,"yearling"
1989,"SU",1355,"F",1,"adult"
1989,"SU",1516,"F",1,"adult"
1989,"SU",1517,"F",1,"adult"
1989,"SU",1689,"F",1,"adult"
1989,"SU",1693,"F",1,"adult"
1989,"SU",1935,"F",1,"adult"
1989,"SU",1937,"F",0,"yearling"
1989,"SU",2119,"F",0,"yearling"
1989,"SU",4850,"F",0,"adult"
1989,"SU",8840,"F",1,NA
1990,"AG",837,"F",1,"yearling"
1990,"AG",887,"F",1,"yearling"
1990,"AG",895,"F",1,"yearling"
1990,"AG",896,"F",1,"yearling"
1990,"AG",907,"F",1,"yearling"
1990,"AG",911,"F",1,"yearling"
1990,"AG",933,"F",1,"yearling"
1990,"AG",964,"F",1,"yearling"
1990,"AG",965,"F",1,"yearling"
1990,"AG",967,"F",1,"yearling"
1990,"AG",968,"F",1,"yearling"
1990,"AG",1002,"F",1,"yearling"
1990,"AG",1006,"F",1,"yearling"
1990,"AG",1059,"F",1,"yearling"
1990,"EN",756,"F",0,"yearling"
1990,"EN",761,"F",0,"yearling"
1990,"EN",1040,"F",0,"yearling"
1990,"EN",1187,"F",0,"yearling"
1990,"EN",1193,"F",0,"yearling"
1990,"EN",1720,"F",0,"yearling"
1990,"EN",1881,"F",0,"yearling"
1990,"EN",2221,"F",0,"yearling"
1990,"FL",859,"F",1,"yearling"
1990,"FL",862,"F",1,"yearling"
1990,"FL",863,"F",0,"adult"
1990,"FL",931,"F",0,"yearling"
1990,"FL",941,"F",1,"yearling"
1990,"FL",989,"F",0,"yearling"
1990,"FL",1139,"F",1,"yearling"
1990,"FL",1185,"F",1,"adult"
1990,"FL",1405,"F",0,"yearling"
1990,"KL",810,"F",0,"adult"
1990,"KL",847,"F",0,"yearling"
1990,"KL",848,"F",1,"adult"
1990,"KL",874,"F",1,"adult"
1990,"KL",875,"F",1,"adult"
1990,"KL",880,"F",1,"adult"
1990,"KL",881,"F",1,"adult"
1990,"KL",904,"F",0,"yearling"
1990,"KL",981,"F",0,"adult"
1990,"KL",1072,"F",0,"adult"
1990,"KL",1181,"F",0,"adult"
1990,"KL",1200,"F",0,"yearling"
1990,"KL",1218,"F",1,"adult"
1990,"KL",1219,"F",0,"adult"
1990,"KL",1220,"F",0,"yearling"
1990,"KL",1319,"F",0,"adult"
1990,"KL",1321,"F",1,"adult"
1990,"KL",1397,"F",1,"adult"
1990,"KL",1574,"F",0,"adult"
1990,"KL",1740,"F",0,"adult"
1990,"KL",1890,"F",0,"adult"
1990,"KL",1944,"F",1,"adult"
1990,"LL",719,"F",0,"adult"
1990,"LL",724,"F",0,"adult"
1990,"LL",729,"F",0,"adult"
1990,"LL",742,"F",0,"adult"
1990,"LL",754,"F",1,"adult"
1990,"LL",801,"F",0,"adult"
1990,"LL",826,"F",1,"adult"
1990,"LL",853,"F",0,"adult"
1990,"LL",854,"F",1,"yearling"
1990,"LL",1026,"F",1,"adult"
1990,"LL",1032,"F",1,"adult"
1990,"LL",1041,"F",1,"adult"
1990,"LL",1042,"F",1,"adult"
1990,"LL",1062,"F",1,"yearling"
1990,"LL",1069,"F",0,"adult"
1990,"LL",1144,"F",1,"adult"
1990,"LL",1180,"F",0,"adult"
1990,"LL",1186,"F",1,"adult"
1990,"LL",1192,"F",1,"adult"
1990,"LL",1222,"F",0,"adult"
1990,"LL",1240,"F",0,"yearling"
1990,"LL",1245,"F",0,"yearling"
1990,"LL",1265,"F",0,"adult"
1990,"LL",1268,"F",0,"adult"
1990,"LL",1274,"F",0,"adult"
1990,"LL",1348,"F",0,"adult"
1990,"LL",1394,"F",0,"yearling"
1990,"LL",1401,"F",0,"yearling"
1990,"LL",1404,"F",0,"yearling"
1990,"LL",1411,"F",0,"yearling"
1990,"LL",1492,"F",0,"yearling"
1990,"LL",1570,"F",1,"adult"
1990,"LL",1571,"F",0,"adult"
1990,"LL",1576,"F",1,"adult"
